"Brand","Брэнд"
"Brands","Брэнды"
"Manage Brands","Управление брэндами"
"Brands Information","Информация о брэнде"
"Add Brand","Добавить брэнд"
"Save Brand","Сохранить брэнд"
"Delete Item","Удалить"
"Edit Brand '%s'","Редактировать брэнд '%s'"
"Item does not exist","Брэнд не найден"
"Item was successfully saved","Брэнд сохранен"
"Item was successfully deleted","Брэнд удален"
"Please select brands(s).","Выберите брэнд(ы)."
"Total of %d record(s) have been deleted.","Количество удаленных записей: %d"
"Total of %d record(s) have been updated.","Количество измененных записей: %d"
"Enabled for frontend","Включить для пользовательской части"
"Frontend Route","Url Key"
"Brands List","Список Брэндов"
"Layout","Макет"
"Column Count","Количество колонок"
"Add Menu Item","Добавить в меню"
"Brands Switcher in Column","Выбор брэндов в колонке"
"Brand View Page","Страница Брэнда"
"View all products from %s","Другие продукты от %s"
"Brands - %s","Брэнды - %s"